,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
1946,3768732,3768734,-0.2386811077594757,-0.4380616545677185,1.0749099254608154,2.3542442321777344,2.010910987854004,2.9627561569213867,-0.5609719157218933,-0.8219588994979858,-0.2969851493835449,-0.39905548095703125,0.15796005725860596,1.448195219039917
1947,3768742,3768744,-0.14208008348941803,-0.10656805336475372,1.025423526763916,2.7136952877044678,1.8846558332443237,1.163158655166626,-0.5504724383354187,-0.8234587907791138,-0.2924853563308716,-0.44451335072517395,0.20283135771751404,1.4721922874450684
1948,3768752,3768754,-0.030815569683909416,0.1229584664106369,0.9949336647987366,1.6529425382614136,-2.2358827590942383,2.6912426948547363,-0.5579720735549927,-0.8069596290588379,-0.2939853072166443,-0.45427757501602173,0.23731112480163574,1.4848761558532715
1949,3768762,3768764,-0.021474787965416908,0.026570672169327736,0.9853338599205017,-0.38958069682121277,-2.096255302429199,1.0808991193771362,-0.5519723892211914,-0.8099594712257385,-0.29098543524742126,-0.36084645986557007,0.1825639307498932,1.5022213459014893
1950,3768772,3768774,-0.16703270375728607,-0.08133004605770111,0.9814172387123108,-1.055273175239563,-3.336580753326416,1.1014881134033203,-0.5519723892211914,-0.8219588994979858,-0.28498575091362,-0.32603952288627625,0.18449069559574127,1.5140711069107056
1951,3768782,3768784,-0.09418697655200958,-0.027855882421135902,1.0131596326828003,-2.4657723903656006,-6.7956767082214355,2.986710548400879,-0.5519723892211914,-0.8219588994979858,-0.28498575091362,-0.259609580039978,0.16577231884002686,1.5236918926239014
1952,3768792,3768794,-0.2162335067987442,0.05786007270216942,0.9982538223266602,-4.405518054962158,-2.2665553092956543,2.2303175926208496,-0.5519723892211914,-0.8219588994979858,-0.28498575091362,-0.19691793620586395,0.05459734424948692,1.539530634880066
1953,3768802,3768804,-0.4960854947566986,0.01577051728963852,1.0171738862991333,-1.3526809215545654,-4.530191898345947,1.9794468879699707,-0.562471866607666,-0.8114594221115112,-0.2954852283000946,-0.1451742947101593,0.09229074418544769,1.5641324520111084
1954,3768812,3768814,-0.37579819560050964,-0.12351259589195251,1.012628436088562,-1.8125056028366089,-6.910927772521973,2.9844624996185303,-0.5564721822738647,-0.8114594221115112,-0.28048595786094666,-0.07610349357128143,0.0753975436091423,1.5809746980667114
1955,3768822,3768824,-0.2157476842403412,-0.24068929255008698,1.0449707508087158,1.111208438873291,-1.5808950662612915,2.116964101791382,-0.5594720244407654,-0.8114594221115112,-0.2834858298301697,-0.032138898968696594,0.08005549013614655,1.6077828407287598
1956,3768832,3768834,-0.26045534014701843,-0.2123192399740219,1.0411967039108276,5.094079971313477,-1.1333949565887451,2.067969799041748,-0.5579720735549927,-0.8159592151641846,-0.29998499155044556,-0.035581186413764954,0.19647355377674103,1.6351842880249023
1957,3768842,3768844,-0.19945192337036133,-0.36587607860565186,1.0318139791488647,6.110029697418213,2.5209431648254395,3.1473889350891113,-0.5399730205535889,-0.8189590573310852,-0.28498575091362,-0.0798448771238327,0.2092524766921997,1.653495192527771
