,timestamp_start,timestamp_end,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,mag.x,mag.y,mag.z,label
80,31061,31063,-0.9189063906669617,2.593717336654663,1.8266105651855469,-3.4496970176696777,-11.554176330566406,8.5061674118042,-0.07184703648090363,-0.01835380680859089,1.1224737167358398,-0.6119694113731384,-0.8849557638168335,-0.34498274326324463,1
81,31071,31073,-0.9565699696540833,2.793208122253418,1.9192595481872559,1.8840131759643555,-10.017390251159668,9.583976745605469,-0.027503930032253265,-0.05894169583916664,1.079613447189331,-0.6119694113731384,-0.8729563355445862,-0.32998350262641907,1
82,31081,31083,-0.7361913919448853,2.738121509552002,1.9412297010421753,3.4532759189605713,2.520092487335205,9.941516876220703,-0.054888464510440826,-0.03042742982506752,1.0902599096298218,-0.6134693026542664,-0.8684565424919128,-0.3434828221797943,1
83,31091,31093,-0.7259939908981323,2.7054643630981445,2.0473103523254395,3.9625768661499023,4.638112545013428,9.206681251525879,-0.12554378807544708,-0.013591179624199867,1.1195869445800781,-0.6149692535400391,-0.8759561777114868,-0.33598318696022034,1
84,31101,31103,-0.7574148178100586,2.699587106704712,2.1669912338256836,5.3712873458862305,5.071316719055176,8.079874038696289,-0.09952578693628311,-0.03697368502616882,1.1091086864471436,-0.6134693026542664,-0.8534573316574097,-0.31948402523994446,1
85,31111,31113,-0.7574486136436462,2.619302988052368,2.266979455947876,6.154644012451172,4.679340362548828,6.378476619720459,-0.0011407706188037992,0.0181380957365036,1.1163054704666138,-0.623968780040741,-0.8459576964378357,-0.32698363065719604,1
86,31121,31123,-0.5697432160377502,2.751497268676758,2.272606372833252,10.464231491088867,1.5263005495071411,5.4565510749816895,-0.0010114400647580624,-0.0389554388821125,1.0916802883148193,-0.6149692535400391,-0.8429578542709351,-0.31798410415649414,1
87,31131,31133,-0.38870862126350403,2.731738567352295,2.304290294647217,15.556572914123535,-6.086737632751465,7.484539031982422,-0.01039805542677641,-0.03144945949316025,1.0232734680175781,-0.6344682574272156,-0.8384580612182617,-0.31948402523994446,1
88,31141,31143,-0.1643456220626831,2.8516018390655518,2.350341558456421,16.984020233154297,-8.33845043182373,8.425211906433105,-0.0214281864464283,0.06564097106456757,1.0514668226242065,-0.6119694113731384,-0.8579570651054382,-0.3239837884902954,1
89,31151,31153,0.10771588236093521,2.578939437866211,2.392831802368164,13.449596405029297,-6.2440385818481445,9.086767196655273,-0.0459112785756588,0.0791374072432518,1.1126512289047241,-0.6254687309265137,-0.8564571738243103,-0.3254837095737457,1
90,31161,31163,0.24756301939487457,2.7866408824920654,2.4776289463043213,3.5344765186309814,-7.570815563201904,11.852812767028809,-0.04305853694677353,0.02728406898677349,1.0831128358840942,-0.6254687309265137,-0.8684565424919128,-0.3254837095737457,1
91,31171,31173,0.1356976330280304,2.9851315021514893,2.6529502868652344,-10.455914497375488,-9.495705604553223,13.127878189086914,-0.02273746393620968,-0.023322299122810364,1.0143718719482422,-0.6254687309265137,-0.8534573316574097,-0.33748310804367065,1
92,31181,31183,-0.11452328413724899,3.0503196716308594,2.831530809402466,-23.469497680664062,-9.718480110168457,13.065074920654297,-0.024841537699103355,-0.027950923889875412,1.0069375038146973,-0.6089695692062378,-0.8549572229385376,-0.32698363065719604,1
93,31191,31193,-0.25158366560935974,3.191786527633667,2.9103102684020996,-30.31861686706543,-3.986402988433838,12.90716552734375,-0.09720468521118164,0.05302168056368828,1.0670034885406494,-0.6074696183204651,-0.844457745552063,-0.3224838674068451,1
94,31201,31203,-0.33144915103912354,3.2537569999694824,2.9329493045806885,-29.83242416381836,6.739584445953369,12.531110763549805,-0.11914121359586716,0.053814031183719635,1.0868171453475952,-0.5999699831008911,-0.8489575386047363,-0.3149842321872711,1
95,31211,31213,-0.7184097170829773,3.11083984375,3.103133201599121,-24.888025283813477,19.711124420166016,14.334177017211914,-0.08815177530050278,0.004822026006877422,1.0652252435684204,-0.6014699339866638,-0.8384580612182617,-0.3134843111038208,1
